#Saved Data from the class counter_logic on 18.06.2019 at 17h24m34s.
#
#Parameters:
#===========
#
#Start counting time: 18.06.2019 17h:24min:21s
#Stop counting time: 18.06.2019 17h:24min:33s
#Count frequency (Hz): 50
#Oversampling (Samples): 1
#Smooth Window Length (# of events): 10
#
#Data:
#=====
#Time (s)	Signal0 (counts/s)
1.211969876289368e+01	1.472100000000000e+06
1.213971543312073e+01	1.467850000000000e+06
1.215970993041992e+01	1.480100000000000e+06
1.217969870567322e+01	1.469600000000000e+06
1.219969940185547e+01	1.468200000000000e+06
1.221970748901367e+01	1.485350000000000e+06
1.223969864845276e+01	1.479800000000000e+06
1.225969696044922e+01	1.496150000000000e+06
1.227970504760742e+01	1.475350000000000e+06
1.229969882965088e+01	1.481150000000000e+06
1.231969857215881e+01	1.488150000000000e+06
1.233969855308533e+01	1.468800000000000e+06
1.235969877243042e+01	1.480300000000000e+06
1.237969923019409e+01	1.490200000000000e+06
1.239969944953918e+01	1.481100000000000e+06
1.241969370841980e+01	1.477950000000000e+06
1.243969559669495e+01	1.471150000000000e+06
1.245969128608704e+01	1.488700000000000e+06
1.247967743873596e+01	1.469400000000000e+06
